,manufacturer_name,model_name,transmission,color,odometer_value,year_produced,engine_type,engine_capacity,body_type,has_warranty,state,price_usd,number_of_photos
20,Subaru,Outback,automatic,white,257495,2008,gasoline,2.5,universal,False,owned,8700.0,10
21,Subaru,Tribeca,automatic,silver,241402,2005,gasoline,3.0,suv,False,owned,7500.0,18
22,Subaru,Tribeca,automatic,black,188000,2006,gasoline,3.0,suv,False,owned,8650.0,30
23,Subaru,Forester,automatic,blue,240000,2001,gasoline,2.5,universal,False,owned,3500.0,5
24,Subaru,Legacy,automatic,green,249448,2002,gasoline,2.5,universal,False,owned,3800.0,12
25,Subaru,Tribeca,automatic,other,250000,2007,gasoline,3.0,suv,False,owned,7200.0,7
26,Subaru,Outback,automatic,green,417000,1997,gasoline,2.0,universal,False,owned,1850.0,18
27,Subaru,Outback,automatic,violet,377000,1999,gasoline,2.5,universal,False,owned,3800.0,12
28,Subaru,Impreza,mechanical,black,300000,1999,gasoline,2.0,universal,False,owned,3000.0,6
29,Subaru,Legacy,mechanical,black,270000,2004,gasoline,2.0,sedan,False,owned,6200.0,10
30,Subaru,Forester,mechanical,green,444444,1999,gasoline,2.0,universal,False,owned,3700.0,6
31,Subaru,Legacy,automatic,black,299000,1994,gasoline,2.2,universal,False,owned,650.0,9
32,Subaru,Impreza,mechanical,violet,340000,1993,gasoline,1.6,universal,False,owned,2000.0,4
33,Subaru,Legacy,mechanical,black,123456,1991,gasoline,2.2,sedan,False,owned,800.0,6
34,Subaru,Impreza,mechanical,silver,118000,2011,gasoline,2.5,sedan,False,owned,14950.0,26
35,Subaru,Impreza,automatic,black,246113,2008,gasoline,1.5,hatchback,False,owned,5350.0,13
36,Subaru,Outback,automatic,green,128748,2016,gasoline,3.6,universal,False,owned,17059.12,24
37,Subaru,Legacy,mechanical,red,100000,1994,gasoline,2.0,sedan,False,owned,1700.0,6
38,Subaru,Outback,automatic,blue,342790,1999,gasoline,2.5,universal,False,owned,3500.0,14
39,Subaru,Forester,mechanical,silver,390000,1997,gasoline,2.0,suv,False,owned,3000.0,8
40,Subaru,Forester,automatic,black,215000,2008,gasoline,2.5,universal,False,owned,8100.0,10
41,Subaru,Outback,mechanical,grey,288500,2006,gasoline,2.5,universal,False,owned,8500.0,25
42,Subaru,Tribeca,automatic,grey,225000,2005,gasoline,3.0,suv,False,owned,7500.0,7
43,Subaru,Outback,automatic,green,310000,2001,gasoline,2.5,liftback,False,owned,3300.0,4
44,Subaru,Forester,automatic,white,121000,2014,gasoline,2.0,suv,False,owned,14950.0,16
45,Subaru,Forester,automatic,blue,242000,2003,gasoline,2.5,suv,False,owned,4490.0,16
46,Subaru,Outback,mechanical,green,286,1998,gasoline,2.5,universal,False,owned,2650.0,11
47,Subaru,Legacy,automatic,grey,209000,2007,gasoline,2.0,sedan,False,owned,6950.0,10
48,Subaru,Legacy,mechanical,silver,195000,2006,gasoline,3.0,sedan,False,owned,8200.0,12
49,Subaru,Outback,automatic,black,126705,2014,gasoline,2.5,universal,False,owned,16500.0,22
50,Subaru,Outback,automatic,other,164153,2008,gasoline,2.5,universal,False,owned,8500.0,8
51,Subaru,Impreza,mechanical,blue,143000,2009,gasoline,1.5,hatchback,False,owned,6450.0,12
52,Subaru,Outback,mechanical,white,463491,2002,gasoline,2.5,universal,False,owned,3150.0,13
53,Subaru,Legacy,mechanical,green,321869,1998,gasoline,2.2,universal,False,owned,1900.0,11
54,Subaru,Legacy,mechanical,other,250000,2005,gasoline,2.0,sedan,False,owned,4899.0,9
55,Subaru,Forester,mechanical,black,260000,1999,gasoline,2.5,universal,False,owned,2500.0,4
56,Subaru,Forester,mechanical,green,300000,1999,gasoline,2.0,suv,False,owned,1700.0,6
57,Subaru,Forester,automatic,red,358047,1999,gasoline,2.5,universal,False,owned,1800.0,14
58,Subaru,Forester,mechanical,blue,296000,2003,gasoline,2.0,universal,False,owned,6150.0,7
59,Subaru,XV,automatic,orange,183000,2012,gasoline,2.0,suv,False,owned,12900.0,5
60,Subaru,Legacy,automatic,red,116000,2010,gasoline,2.5,sedan,False,owned,7250.0,10
61,Subaru,Legacy,mechanical,blue,450000,1995,gasoline,2.0,universal,False,owned,900.0,28
62,Subaru,Outback,automatic,brown,180000,2008,gasoline,2.5,universal,False,owned,9400.0,8
63,Subaru,Forester,mechanical,black,343455,2001,gasoline,2.0,universal,False,owned,3300.0,1
64,Subaru,Legacy,automatic,white,202777,2009,gasoline,2.5,sedan,False,owned,8200.0,3
65,Subaru,Forester,automatic,black,230000,2001,gasoline,2.5,suv,False,owned,4200.0,6
66,Subaru,Justy,mechanical,red,80000,1992,gasoline,1.2,hatchback,False,owned,2100.0,7
67,Subaru,Legacy,automatic,green,408263,1999,gasoline,2.5,universal,False,owned,1499.0,11
68,Subaru,Outback,automatic,black,193,2010,gasoline,2.5,universal,False,owned,9800.0,16
69,Subaru,Legacy,automatic,silver,300000,1998,gasoline,2.5,universal,False,owned,2500.0,14
70,Subaru,Outback,mechanical,green,285000,2001,gasoline,2.5,universal,False,owned,3650.0,12
71,Subaru,Impreza,mechanical,red,363500,1994,gasoline,2.0,universal,False,owned,1400.0,8
72,Subaru,Legacy,mechanical,silver,127138,2005,gasoline,2.5,sedan,False,owned,5400.0,11
73,Subaru,XV,automatic,grey,88000,2014,gasoline,2.0,suv,True,owned,12950.0,15
74,Subaru,Forester,automatic,black,128000,2012,gasoline,2.0,suv,False,owned,15490.0,13
75,Subaru,Outback,automatic,blue,177000,2010,gasoline,2.5,universal,False,owned,13500.0,11
76,Subaru,Forester,mechanical,silver,350000,2000,gasoline,2.0,universal,False,owned,2000.0,5
77,Subaru,Forester,mechanical,grey,173000,2005,gasoline,2.5,suv,False,owned,7500.0,10
78,Subaru,Forester,automatic,blue,280000,2004,gasoline,2.5,suv,False,owned,5800.0,12
79,Subaru,Forester,mechanical,green,270000,1998,gasoline,2.5,suv,False,owned,2750.0,11
80,Subaru,Outback,automatic,other,310000,1996,gasoline,2.0,universal,False,owned,3299.0,20
81,Subaru,Legacy,mechanical,green,450000,1996,gasoline,2.0,universal,False,owned,1400.0,15
82,Subaru,Tribeca,automatic,blue,179000,2008,gasoline,3.6,suv,False,owned,9900.0,12
83,Subaru,Forester,automatic,silver,175000,2013,gasoline,2.5,universal,False,owned,15900.0,16
84,Subaru,Impreza,mechanical,blue,130000,2008,gasoline,2.5,hatchback,False,owned,13500.0,9
85,Subaru,Forester,automatic,silver,305000,1999,gasoline,2.5,suv,False,owned,3750.0,12
86,Subaru,Legacy,automatic,silver,294000,1999,gasoline,2.0,universal,False,owned,3400.0,19
87,Subaru,Outback,mechanical,violet,353000,2000,gasoline,2.5,universal,False,owned,4250.0,19
88,Subaru,Forester,mechanical,black,400000,2003,gasoline,2.0,universal,False,owned,5500.0,7
89,Subaru,Impreza,mechanical,green,329786,2001,gasoline,1.6,universal,False,owned,4100.0,4
90,Subaru,Impreza,mechanical,red,230000,2003,gasoline,2.0,universal,False,owned,7000.0,6
91,Subaru,Forester,mechanical,blue,160000,2010,gasoline,2.5,suv,False,owned,12600.0,8
92,Subaru,Tribeca,automatic,yellow,279000,2008,gasoline,3.6,suv,False,emergency,5400.0,7
93,Subaru,Impreza,automatic,silver,80000,2016,gasoline,2.0,sedan,False,owned,14500.0,3
94,Subaru,Legacy,automatic,blue,394289,2002,gasoline,2.5,universal,False,owned,3900.0,6
95,Subaru,Outback,automatic,blue,256000,2012,gasoline,2.5,universal,False,owned,14227.45,7
96,Subaru,Outback,automatic,silver,160000,2011,gasoline,2.5,suv,False,owned,17000.0,5
97,Subaru,Forester,mechanical,black,218000,1997,gasoline,2.5,suv,False,owned,3750.0,22
98,Subaru,Forester,automatic,silver,273588,2006,gasoline,2.5,universal,False,owned,6000.0,7
99,Subaru,Forester,mechanical,black,103975,2011,gasoline,2.5,suv,False,owned,15500.0,12
100,Subaru,Legacy,mechanical,blue,330000,1995,gasoline,2.2,sedan,False,owned,1900.0,13
101,Subaru,Impreza,automatic,black,205328,2008,gasoline,2.5,hatchback,False,owned,6499.0,14
102,Subaru,Outback,automatic,blue,353624,2001,gasoline,3.0,universal,False,owned,5250.0,9
103,Subaru,Justy,mechanical,silver,170000,2008,gasoline,1.0,minivan,False,owned,5199.0,5
104,Subaru,Outback,automatic,other,370000,2004,gasoline,2.5,universal,False,owned,6000.0,10
105,Subaru,Forester,automatic,black,233000,2000,gasoline,2.0,universal,False,owned,6800.0,3
106,Subaru,Impreza,mechanical,green,354056,1998,gasoline,2.2,universal,False,owned,1900.0,9
107,Subaru,Forester,automatic,black,160000,2010,gasoline,2.5,suv,False,owned,8650.0,4
108,Subaru,Legacy,mechanical,silver,295000,1996,gasoline,2.0,universal,False,owned,1565.02,6
109,Subaru,Outback,automatic,grey,100000,2012,gasoline,2.5,universal,False,owned,16300.0,25
110,Subaru,Impreza,mechanical,green,180000,1998,gasoline,2.0,sedan,False,owned,6900.0,9
111,Subaru,Outback,automatic,green,60000,2001,gasoline,2.5,universal,False,owned,2900.0,9
112,Subaru,Legacy,mechanical,silver,185075,2003,gasoline,2.5,sedan,False,owned,7000.0,10
113,Subaru,Outback,automatic,blue,405555,2001,gasoline,2.5,universal,False,owned,4990.0,7
114,Subaru,Impreza,mechanical,other,185000,2008,gasoline,1.5,sedan,False,owned,6300.0,3
115,Subaru,Legacy,automatic,red,152888,2009,gasoline,2.5,sedan,False,owned,11000.0,3
116,Subaru,Impreza,mechanical,silver,193000,2009,gasoline,1.5,hatchback,False,owned,7000.0,3
117,Subaru,Forester,mechanical,green,197,1999,gasoline,2.0,universal,False,owned,3000.0,7
118,Subaru,Forester,automatic,blue,162544,2010,gasoline,2.5,suv,False,owned,9700.0,1
119,Subaru,Forester,mechanical,blue,46671,2017,gasoline,2.5,suv,False,emergency,8790.0,9
120,Subaru,Outback,automatic,red,56800,2015,gasoline,2.5,universal,False,owned,23400.0,8
121,Subaru,Legacy,automatic,black,260000,2007,gasoline,3.0,sedan,False,owned,6800.0,12
122,Subaru,Justy,mechanical,black,150000,2010,gasoline,1.0,hatchback,False,owned,6450.0,11
123,Subaru,Legacy,automatic,green,334567,1992,gasoline,2.2,universal,False,owned,1600.0,8
124,Subaru,Leone,mechanical,blue,350000,1987,gasoline,1.8,universal,False,owned,1500.0,2
125,Subaru,Legacy,mechanical,silver,388000,1996,gasoline,2.0,universal,False,owned,2300.0,1
126,Subaru,Justy,mechanical,silver,96370,2009,gasoline,1.0,hatchback,False,owned,5500.0,6
127,Subaru,Legacy,automatic,grey,300000,2007,gasoline,2.0,universal,False,owned,5999.0,9
128,Subaru,Impreza,automatic,white,280000,2007,gasoline,2.0,sedan,False,owned,9000.0,6
129,Subaru,WRX,automatic,white,69500,2014,gasoline,2.0,sedan,False,owned,24900.0,11
130,Subaru,Outback,automatic,white,237000,2004,gasoline,3.0,universal,False,owned,6150.0,20
131,Subaru,Forester,automatic,silver,289740,2001,gasoline,2.5,universal,False,owned,4200.0,3
132,Subaru,Legacy,automatic,silver,164000,2001,gasoline,2.0,sedan,False,owned,3700.0,12
133,Subaru,Impreza,automatic,red,280000,1997,gasoline,2.0,sedan,False,owned,1500.0,4
134,Subaru,XV,automatic,grey,95000,2012,gasoline,2.0,suv,False,owned,12999.0,18
135,Subaru,Impreza,automatic,grey,95000,2012,gasoline,2.0,hatchback,False,owned,12999.0,18
136,Subaru,Forester,mechanical,grey,193000,2008,diesel,2.0,suv,False,owned,9481.65,11
137,Subaru,Legacy,mechanical,black,225000,2006,gasoline,2.0,sedan,False,owned,6800.0,13
138,Subaru,Outback,automatic,silver,306000,2007,gasoline,2.5,universal,False,owned,7700.0,7
139,Subaru,Outback,automatic,black,362102,1997,gasoline,2.5,universal,False,owned,2800.0,3
140,Subaru,Forester,automatic,white,80467,2015,gasoline,2.0,suv,False,owned,22850.0,25
141,Subaru,Forester,automatic,white,300000,1998,gasoline,2.5,universal,False,owned,4990.0,19
142,Subaru,Legacy,automatic,silver,270370,2006,gasoline,2.5,sedan,False,owned,7000.0,8
143,Subaru,XV,automatic,red,100000,2012,gasoline,1.6,suv,False,owned,14000.0,30
144,Subaru,Impreza,mechanical,white,236000,1999,gasoline,2.0,universal,False,owned,3599.0,11
145,Subaru,Legacy,automatic,blue,350000,2004,gasoline,2.5,sedan,False,owned,4500.0,10
146,Subaru,Outback,automatic,other,370149,1996,gasoline,2.0,universal,False,owned,3290.0,19
147,Subaru,Forester,automatic,green,330000,1998,gasoline,2.0,universal,False,owned,4200.0,17
148,Subaru,Tribeca,automatic,grey,252000,2007,gasoline,3.0,suv,False,owned,8200.0,15
149,Subaru,Legacy,mechanical,other,343444,1996,gasoline,2.0,universal,False,owned,1800.0,2
150,Subaru,Legacy,mechanical,green,212000,1994,gasoline,2.2,universal,False,owned,2000.0,13
151,Subaru,Outback,automatic,other,50000,2009,gasoline,2.5,suv,False,owned,14300.0,9
152,Subaru,Impreza,mechanical,silver,295000,1998,gasoline,2.0,sedan,False,owned,1400.0,18
153,Subaru,Forester,automatic,other,116000,2015,gasoline,2.0,suv,False,owned,18900.0,18
154,Subaru,Impreza,mechanical,black,182000,2007,gasoline,1.5,sedan,False,owned,5500.0,8
155,Subaru,Forester,mechanical,red,226800,2001,gasoline,2.5,universal,False,owned,3799.0,18
156,Subaru,Impreza,automatic,white,339572,1997,gasoline,2.2,universal,False,owned,1600.0,9
157,Subaru,Tribeca,automatic,other,104000,2012,gasoline,3.6,suv,False,owned,13500.0,6
158,Subaru,Outback,automatic,black,187000,2011,gasoline,2.5,universal,False,owned,12300.0,3
159,Subaru,Forester,automatic,grey,92300,2012,gasoline,2.5,suv,False,owned,14499.0,16
160,Subaru,Forester,automatic,black,135000,2014,gasoline,2.5,suv,False,owned,19500.0,7
161,Subaru,XV,mechanical,blue,76000,2015,diesel,2.0,hatchback,False,owned,14000.0,11
162,Subaru,XV,mechanical,grey,72000,2014,gasoline,2.0,suv,False,owned,14938.82,9
163,Subaru,Tribeca,automatic,blue,35000,2006,gasoline,3.0,suv,False,owned,6600.0,10
164,Subaru,Outback,automatic,blue,170000,2010,gasoline,2.5,universal,False,owned,11550.0,18
165,Subaru,Forester,mechanical,black,364000,2008,gasoline,2.0,universal,False,owned,9050.0,16
166,Subaru,XV,automatic,grey,25480,2014,gasoline,1.6,hatchback,False,owned,19499.0,15
167,Subaru,Legacy,mechanical,black,144841,2009,gasoline,2.5,sedan,False,owned,10500.0,7
168,Subaru,Legacy,automatic,silver,280000,2004,gasoline,2.5,universal,False,owned,2800.0,16
169,Subaru,Outback,automatic,grey,187000,2010,gasoline,2.5,universal,False,owned,11650.0,21
170,Subaru,Forester,automatic,other,45250,2016,gasoline,2.5,suv,False,owned,28950.0,27
171,Subaru,Forester,automatic,other,80467,2016,gasoline,2.5,suv,False,owned,27950.0,28
172,Subaru,Tribeca,automatic,grey,145000,2007,gasoline,3.6,suv,False,owned,10750.0,12
173,Subaru,Legacy,automatic,violet,333134,1998,gasoline,2.5,sedan,False,owned,1800.0,5
174,Subaru,Outback,automatic,white,175000,2011,gasoline,2.5,universal,False,owned,12200.0,22
175,Subaru,Forester,mechanical,black,170000,1999,gasoline,2.0,suv,False,owned,7000.0,26
176,Subaru,Impreza,automatic,blue,180000,2007,gasoline,2.0,hatchback,False,owned,6650.0,4
177,Subaru,Outback,mechanical,other,292901,2004,gasoline,2.5,universal,False,owned,7100.0,11
178,Subaru,Outback,automatic,silver,380000,2005,gasoline,2.5,universal,False,owned,7000.0,13
179,Subaru,Outback,automatic,other,328000,2000,gasoline,2.5,universal,False,owned,4000.0,11
180,Subaru,Legacy,mechanical,silver,235000,2007,gasoline,2.0,sedan,False,owned,7100.0,7
181,Subaru,Legacy,mechanical,green,26500,1994,gasoline,1.8,universal,False,owned,1896.99,3
182,Subaru,Legacy,mechanical,blue,273588,2000,gasoline,2.5,universal,False,owned,2950.0,6
183,Subaru,Forester,mechanical,silver,221100,2006,gasoline,2.5,sedan,False,owned,5500.0,9
184,Subaru,Outback,automatic,black,198242,2005,gasoline,2.5,universal,False,owned,6800.0,16
185,Subaru,Outback,mechanical,blue,263105,2005,gasoline,2.5,universal,False,owned,7000.0,6
186,Subaru,Forester,automatic,silver,109000,2014,gasoline,2.5,universal,False,owned,17000.0,7
187,Subaru,Outback,mechanical,black,350000,2005,gasoline,2.5,universal,False,owned,6200.0,7
188,Subaru,Legacy,automatic,green,200000,1998,gasoline,1.8,universal,False,owned,1950.0,8
189,Subaru,Forester,automatic,black,193121,2010,gasoline,2.5,suv,False,owned,10499.0,4
190,Subaru,Forester,automatic,other,241402,2001,gasoline,2.5,universal,False,owned,4000.0,5
191,Subaru,Legacy,mechanical,green,250000,1997,gasoline,2.0,universal,False,owned,2300.0,2
192,Subaru,Legacy,automatic,blue,321869,1998,gasoline,2.2,sedan,False,owned,2500.0,20
193,Subaru,Legacy,mechanical,silver,239065,2005,gasoline,2.5,universal,False,owned,6900.0,12
194,Subaru,Legacy,mechanical,silver,25000,1994,gasoline,2.0,universal,False,owned,800.0,13
195,Subaru,Legacy,automatic,white,185000,2010,gasoline,2.5,sedan,False,owned,11990.0,19
196,Subaru,Outback,automatic,blue,350000,2002,gasoline,2.5,universal,False,owned,4000.0,1
197,Subaru,Forester,automatic,black,198000,2008,gasoline,2.5,suv,False,owned,10150.0,8
198,Subaru,Legacy,automatic,black,205000,2006,gasoline,2.0,sedan,False,owned,6200.0,12
199,Subaru,Tribeca,automatic,grey,154000,2008,gasoline,3.6,suv,False,owned,8900.0,13
200,Subaru,Forester,automatic,white,225308,2008,gasoline,2.5,suv,False,owned,11000.0,5
201,Subaru,Libero,mechanical,green,178900,1992,gasoline,1.2,minibus,False,owned,2134.12,11
202,Subaru,Forester,automatic,red,176000,2012,gasoline,2.0,suv,False,owned,11300.0,10
203,Subaru,Outback,automatic,black,240000,2012,gasoline,2.5,universal,False,owned,15500.0,4
204,Subaru,Legacy,automatic,silver,325000,2003,gasoline,2.0,sedan,False,owned,4650.0,12
205,Subaru,Tribeca,automatic,white,140000,2007,gasoline,3.6,suv,False,owned,10700.0,6
206,Subaru,Legacy,automatic,blue,121000,2008,gasoline,2.5,sedan,False,owned,10300.0,6
207,Subaru,Outback,automatic,green,347000,2001,gasoline,3.0,universal,False,owned,3950.0,8
208,Subaru,Justy,mechanical,black,122000,2009,gasoline,1.0,hatchback,False,owned,6200.0,5
209,Subaru,Impreza,automatic,other,289682,2002,gasoline,2.5,universal,False,owned,3000.0,7
210,Subaru,Impreza,mechanical,white,98000,2012,gasoline,2.5,sedan,False,owned,14500.0,20
211,Subaru,XV,automatic,silver,93342,2012,gasoline,2.0,suv,False,owned,13800.0,3
212,Subaru,Outback,automatic,other,52000,2015,gasoline,2.5,suv,False,owned,35500.0,6
213,Subaru,Forester,automatic,silver,199500,2007,gasoline,2.5,suv,False,owned,7300.0,13
214,Subaru,Tribeca,automatic,grey,160934,2011,gasoline,3.6,suv,False,owned,14000.0,17
215,Subaru,Forester,mechanical,green,344400,1997,gasoline,2.5,suv,False,owned,3414.59,14
216,Subaru,Impreza,mechanical,blue,155000,2005,gasoline,2.0,sedan,False,owned,9800.0,8
217,Subaru,Impreza,mechanical,blue,97000,2005,gasoline,2.0,sedan,False,owned,8200.0,7
218,Subaru,Legacy,mechanical,grey,222089,2008,gasoline,2.5,sedan,False,owned,10100.0,9
219,Subaru,Impreza,mechanical,black,190000,2006,gasoline,2.5,sedan,False,owned,11500.0,1
220,Subaru,Outback,automatic,other,13000,2018,gasoline,2.5,universal,False,owned,27000.0,9
221,Subaru,Legacy,mechanical,red,280000,1990,gasoline,2.0,sedan,False,owned,1500.0,13
222,Subaru,Forester,automatic,black,150200,2008,gasoline,2.5,suv,False,owned,8999.0,11
223,Subaru,Forester,automatic,green,228527,1999,gasoline,2.5,universal,False,owned,4000.0,6
224,Subaru,Outback,automatic,silver,180000,2005,gasoline,2.5,universal,False,owned,6500.0,7
225,Subaru,Legacy,mechanical,black,350000,1993,gasoline,2.0,sedan,False,owned,1000.0,4
226,Subaru,Outback,mechanical,blue,449007,2001,gasoline,2.5,universal,False,owned,2500.0,14
227,Subaru,Outback,automatic,black,241402,2010,gasoline,2.5,universal,False,owned,13400.0,10
228,Subaru,Forester,mechanical,blue,453024,2001,gasoline,2.5,universal,False,owned,3000.0,2
229,Subaru,Outback,automatic,black,237000,2005,gasoline,2.5,universal,False,owned,7000.0,5
230,Subaru,Legacy,automatic,blue,390000,1997,gasoline,2.5,universal,False,owned,2300.0,13
231,Subaru,Forester,automatic,grey,305775,2007,gasoline,2.5,universal,False,owned,9600.0,8
232,Subaru,Forester,mechanical,red,518209,1999,gasoline,2.5,universal,False,owned,3500.0,9
233,Subaru,Impreza,automatic,silver,287000,2003,gasoline,2.0,universal,False,owned,3400.0,4
234,Subaru,Forester,mechanical,silver,325000,2006,gasoline,2.0,suv,False,owned,6800.0,6
235,Subaru,Forester,automatic,black,390000,2002,gasoline,2.5,sedan,False,owned,4900.0,4
236,Subaru,Libero,mechanical,white,300000,1992,gasoline,1.2,minivan,False,owned,800.0,6
237,Subaru,Outback,automatic,black,500000,2001,gasoline,2.5,universal,False,owned,3777.0,12
238,Subaru,Legacy,mechanical,green,250000,2004,gasoline,2.0,sedan,False,owned,4700.0,10
239,Subaru,Forester,automatic,blue,179000,2000,gasoline,2.5,universal,False,owned,3600.0,8
240,Subaru,Legacy,automatic,grey,999999,1991,gasoline,2.2,universal,False,emergency,400.0,7
241,Subaru,Forester,mechanical,green,270000,2008,diesel,2.0,suv,False,owned,10200.0,1
242,Subaru,XV,automatic,green,200000,2014,gasoline,2.0,hatchback,False,owned,19500.0,11
243,Subaru,Impreza,automatic,green,465000,1998,gasoline,2.0,universal,False,owned,3000.0,6
244,Subaru,Outback,automatic,black,298533,2008,gasoline,2.5,universal,False,owned,7900.0,12
245,Subaru,Legacy,automatic,silver,300000,1990,gasoline,2.2,universal,False,emergency,1150.0,24
246,Subaru,Impreza,automatic,grey,138404,2007,gasoline,2.5,sedan,False,owned,6500.0,12
247,Subaru,Tribeca,automatic,silver,140000,2008,gasoline,3.6,suv,False,owned,10100.0,10
248,Subaru,Forester,mechanical,green,276807,1998,gasoline,2.5,suv,False,owned,2750.0,2
249,Subaru,Forester,automatic,white,176000,2011,gasoline,2.0,universal,False,owned,11100.0,6
250,Subaru,Legacy,mechanical,blue,140000,2000,gasoline,2.0,sedan,False,owned,3500.0,5
251,Subaru,Forester,automatic,blue,160000,2012,gasoline,2.5,suv,False,owned,12350.0,17
252,Subaru,Forester,automatic,blue,595457,2001,gasoline,2.5,suv,False,owned,2700.0,5
253,Subaru,Impreza,mechanical,silver,58270,2009,gasoline,1.5,hatchback,False,owned,6750.0,8
254,Subaru,Impreza,automatic,silver,222000,2008,gasoline,2.0,hatchback,False,owned,8700.0,35
255,Subaru,Impreza,mechanical,blue,172000,2006,gasoline,2.0,sedan,False,owned,11000.0,6
256,Subaru,Impreza,automatic,silver,274000,2006,gasoline,2.0,sedan,False,owned,11500.0,3
257,Subaru,Legacy,mechanical,blue,329916,1999,gasoline,2.2,universal,False,owned,2700.0,2
258,Subaru,Legacy,automatic,white,260000,1999,gasoline,2.5,sedan,False,owned,3400.0,6
259,Subaru,Outback,mechanical,black,234000,2009,diesel,2.0,universal,False,owned,9950.0,1
260,Subaru,Legacy,automatic,other,280000,2004,gasoline,3.0,sedan,False,owned,8500.0,11
261,Subaru,Tribeca,automatic,blue,300947,2006,gasoline,3.0,suv,False,emergency,5500.0,6
262,Subaru,Forester,mechanical,white,280000,1998,gasoline,2.0,suv,False,owned,4850.0,9
263,Subaru,Forester,automatic,blue,156000,2008,gasoline,2.0,suv,False,owned,9150.0,9
264,Subaru,Outback,mechanical,other,200000,2004,gasoline,2.5,universal,False,owned,7200.0,8
265,Subaru,Impreza,mechanical,red,368000,1994,gasoline,1.6,sedan,False,owned,948.5,4
266,Subaru,Outback,automatic,silver,299000,2006,gasoline,2.5,universal,False,owned,7000.0,13
267,Subaru,Impreza,mechanical,blue,164000,2002,gasoline,2.0,sedan,False,owned,4742.47,3
268,Subaru,Forester,automatic,white,140013,2008,gasoline,2.5,suv,False,owned,11000.0,10
269,Subaru,Outback,automatic,blue,232000,2010,gasoline,2.5,universal,False,owned,14000.0,14
270,Subaru,Tribeca,automatic,grey,257495,2007,gasoline,3.6,suv,False,owned,9900.0,1
271,Subaru,Forester,automatic,silver,120000,2009,gasoline,2.5,suv,False,owned,12800.0,7
272,Subaru,Outback,automatic,green,304166,1998,gasoline,2.5,universal,False,owned,1850.0,7
273,Subaru,Forester,automatic,green,257500,2000,gasoline,2.5,universal,False,owned,3000.0,3
274,Subaru,Outback,automatic,other,145000,1999,gasoline,2.0,universal,False,owned,3700.0,11
275,Subaru,Forester,automatic,green,265000,2004,gasoline,2.5,universal,False,owned,6700.0,11
276,Subaru,Impreza,automatic,grey,142000,2010,gasoline,2.0,hatchback,False,owned,9777.0,14
277,Subaru,Outback,automatic,green,260000,2002,gasoline,2.5,universal,False,owned,4700.0,10
278,Subaru,Tribeca,automatic,grey,241402,2008,gasoline,3.6,suv,False,owned,10000.0,10
279,Subaru,Outback,automatic,black,289682,2004,gasoline,2.5,universal,False,owned,7113.72,6
280,Subaru,Legacy,mechanical,red,212997,2001,gasoline,2.0,sedan,False,owned,3800.0,6
281,Subaru,Forester,automatic,grey,79000,2015,gasoline,2.0,suv,False,owned,19600.0,6
282,Subaru,Legacy,automatic,silver,386243,2002,gasoline,2.5,sedan,False,owned,4300.0,8
283,Subaru,Tribeca,automatic,black,237000,2006,gasoline,3.0,suv,False,owned,8600.0,27
284,Subaru,Impreza,automatic,silver,215000,2005,gasoline,2.0,sedan,False,owned,3800.0,11
